X: 7.127535  Y: 302.371338 
X: 7.138885  Y: 306.890045 
X: 7.150234  Y: 299.324371 
X: 7.161584  Y: 298.406128 
X: 7.172934  Y: 309.499451 
X: 7.184283  Y: 318.731415 
X: 7.195632  Y: 296.846588 
X: 7.206982  Y: 297.889587 
X: 7.218332  Y: 293.168304 
X: 7.229681  Y: 295.783966 
X: 7.241031  Y: 298.072266 
X: 7.252380  Y: 297.948120 
X: 7.263730  Y: 309.684998 
X: 7.275080  Y: 484.145508 
X: 7.286429  Y: 297.639954 
X: 7.297779  Y: 300.823761 
X: 7.309128  Y: 296.233093 
X: 7.320478  Y: 301.778931 
X: 7.331828  Y: 299.720642 
X: 7.343177  Y: 299.613220 
X: 7.354527  Y: 289.589539 
X: 7.365876  Y: 305.827332 
X: 7.377226  Y: 300.218262 
X: 7.388576  Y: 300.633575 
X: 7.399925  Y: 300.222351 
X: 7.411274  Y: 301.189056 
X: 7.422624  Y: 300.285706 
X: 7.433974  Y: 298.892975 
X: 7.445323  Y: 285.622253 
X: 7.456673  Y: 317.559631 
X: 7.468022  Y: 297.912170 
X: 7.479372  Y: 300.092529 
X: 7.490722  Y: 295.780334 
X: 7.502071  Y: 300.545868 
X: 7.513421  Y: 299.482239 
X: 7.524770  Y: 299.021515 
X: 7.536120  Y: 291.049774 
X: 7.547470  Y: 300.257080 
X: 7.558819  Y: 299.281464 
X: 7.570169  Y: 297.703796 
X: 7.581518  Y: 298.420654 
X: 7.592868  Y: 294.948517 
X: 7.604218  Y: 300.487732 
X: 7.615567  Y: 300.154114 
X: 7.626917  Y: 270.167786 
X: 7.638266  Y: 321.495544 
X: 7.649616  Y: 299.544556 
X: 7.660965  Y: 297.945862 
X: 7.672315  Y: 299.894104 
X: 7.683664  Y: 295.755920 
X: 7.695014  Y: 299.303741 
X: 7.706364  Y: 299.735291 
X: 7.717713  Y: 296.100098 
X: 7.729063  Y: 292.733429 
X: 7.740412  Y: 298.623505 
X: 7.751762  Y: 298.911469 
X: 7.763112  Y: 297.214691 
X: 7.774461  Y: 297.394379 
X: 7.785811  Y: 301.065399 
X: 7.797160  Y: 299.455963 
X: 7.808510  Y: 295.054535 
X: 7.819860  Y: 278.881927 
X: 7.831209  Y: 299.963989 
X: 7.842559  Y: 299.483002 
X: 7.853908  Y: 299.979187 
X: 7.865258  Y: 298.849396 
X: 7.876607  Y: 299.865906 
X: 7.887957  Y: 300.692719 
X: 7.899307  Y: 302.454803 
X: 7.910656  Y: 299.534424 
X: 7.922006  Y: 300.459015 
X: 7.933355  Y: 300.923981 
X: 7.944705  Y: 300.775238 
X: 7.956054  Y: 302.017700 
X: 7.967404  Y: 298.936066 
X: 7.978754  Y: 299.441925 
X: 7.990103  Y: 179.823914 
X: 8.001452  Y: 327.903625 
X: 8.012802  Y: 297.682129 
X: 8.024152  Y: 298.667755 
X: 8.035501  Y: 295.312347 
X: 8.046851  Y: 296.971466 
X: 8.058201  Y: 300.101807 
X: 8.069551  Y: 299.664673 
X: 8.080900  Y: 292.187317 
X: 8.092249  Y: 292.984589 
X: 8.103599  Y: 300.694550 
X: 8.114948  Y: 300.792084 
X: 8.126298  Y: 302.009705 
X: 8.137648  Y: 301.707458 
X: 8.148997  Y: 299.287201 
X: 8.160347  Y: 300.558472 
X: 8.171697  Y: 288.671722 
X: 8.183046  Y: 304.047668 
X: 8.194396  Y: 302.526520 
X: 8.205745  Y: 302.254028 
X: 8.217094  Y: 305.562073 
X: 8.228444  Y: 304.278931 
X: 8.239794  Y: 299.544556 
X: 8.251143  Y: 298.888641 
X: 8.262493  Y: 312.804657 
X: 8.273843  Y: 310.344727 
X: 8.285192  Y: 298.637848 
X: 8.296542  Y: 296.875458 
X: 8.307891  Y: 296.974030 
X: 8.319241  Y: 293.214630 
X: 8.330590  Y: 298.840302 
X: 8.341940  Y: 299.325653 
X: 8.353290  Y: 260.779755 
X: 8.364639  Y: 264.895477 
X: 8.375989  Y: 301.386719 
X: 8.387339  Y: 298.547852 
X: 8.398688  Y: 302.846161 
X: 8.410038  Y: 296.728546 
X: 8.421387  Y: 300.445831 
X: 8.432736  Y: 300.593048 
X: 8.444086  Y: 309.659302 
X: 8.455436  Y: 294.228638 
X: 8.466785  Y: 301.602417 
X: 8.478135  Y: 301.658569 
X: 8.489485  Y: 303.627777 
X: 8.500834  Y: 303.718262 
X: 8.512184  Y: 298.402893 
X: 8.523534  Y: 299.942383 
X: 8.534883  Y: 300.465302 
X: 8.546232  Y: 288.197205 
X: 8.557582  Y: 299.411041 
X: 8.568932  Y: 300.606293 
X: 8.580281  Y: 298.834198 
X: 8.591631  Y: 301.111115 
X: 8.602981  Y: 300.918854 
X: 8.614330  Y: 300.421021 
X: 8.625680  Y: 295.934265 
X: 8.637029  Y: 301.295990 
X: 8.648378  Y: 302.247925 
X: 8.659728  Y: 299.774231 
X: 8.671078  Y: 304.921417 
X: 8.682427  Y: 299.163544 
X: 8.693777  Y: 300.773956 
X: 8.705127  Y: 300.536774 
X: 8.716476  Y: -310.170166 
X: 8.727826  Y: 184.998245 
X: 8.739176  Y: 302.147827 
X: 8.750525  Y: 299.237610 
X: 8.761874  Y: 304.107422 
X: 8.773224  Y: 298.444031 
X: 8.784574  Y: 300.432404 
X: 8.795923  Y: 300.543365 
X: 8.807273  Y: 311.961365 
